150	14027.43742	14013.56281	13994.79909
			
150	4090.811348	4087.858626	4061.812503
			
150	3280.281932	3271.502041	3248.922378
			
150	4233.413559	4224.727602	4203.647843
			
150	11790.9983	11786.62528	11759.66445
			
150	4955.416861	4944.883367	4926.714245
			
150	5567.524333	5564.078529	5537.267274
			
150	2744.315775	2737.084502	2712.603537
			
150	45100.62655	45091.34937	45067.61084
			
150	7698.318197	7692.855801	7665.971692
			
150	3998.445042	3990.648506	3967.649549
			
150	5509.584841	5507.018719	5476.638807
			
150	13055.49441	13046.47852	13025.20127
			
150	3589.83201	3591.954693	3561.851105
			
150	2682.264504	2674.040747	2651.045276
			
150	3258.859082	3252.179572	3228.673515
			
150	2683.975028	2678.222873	2653.84971
			
150	4388.189953	4378.511013	4358.407034
			
150	3105.501341	3093.066491	3071.666536
			
150	6248.806944	6238.066529	6217.699597
			
150	3730.398209	3720.12592	3699.989172
			
150	3939.844368	3934.724551	3907.669369
			
150	2876.163651	2883.09901	2846.410764
			
150	2769.550404	2762.861437	2738.697381
			
150	5201.0755	5197.098005	5173.006779
			
150	6821.085182	6814.50498	6790.298789
